编号,适用技能,分类,层级,关键词,适用题材,内容
ED001,scene-writing,情感设计,提醒层,"压抑,积蓄,爆发,爽感","玄幻,仙侠","逆袭弧: 先压后扬，通过前期压抑积累读者情绪，在关键节点爆发释放，产生强烈爽感。注意：压抑期不超过总篇幅30%，爆发点需要铺垫至少2个伏笔。"
ED002,scene-writing,情感设计,提醒层,"反转,意外,震惊","全题材","反转设计: 信息差制造反转。让读者以为A会发生，实际发生B。反转前需要至少2个误导性线索。反转后需要角色的合理反应过渡。"
ED003,scene-writing,情感设计,缺陷补偿层,"情绪节奏,张弛","全题材","情绪节奏三拍法: 紧张→舒缓→更高紧张。禁止连续3段以上同强度情绪输出。每段高潮后必须有缓冲段（环境描写/日常互动/内心独白）。"
WR001,scene-writing,战斗描写,缺陷补偿层,"战斗,动作,速度感","玄幻,武侠","战斗场景三拍法: 1)环境破坏(视觉冲击) 2)身体反应(触觉/痛觉) 3)内心独白(心理节奏)。禁止: 纯粹的招式罗列。每个战斗回合不超过200字。"
WR002,scene-writing,对话描写,知识补充层,"对话,潜台词,交锋","全题材","对话四层: 1)表面意思 2)潜台词 3)情感暗流 4)权力博弈。好对话不需要"他说""她说"以外的修饰。通过对话节奏(长短句交替)暗示情绪。"
WR003,scene-writing,环境描写,提醒层,"环境,氛围,五感","全题材","环境描写五感法: 视觉(色彩/光影) + 听觉(声响) + 嗅觉(气味) + 触觉(温度/质感) + 味觉(可选)。每个场景至少激活2种感官。禁止: 纯视觉描写。"
PL001,outline-builder,剧情结构,提醒层,"钩子,开场,黄金三章","全题材","黄金三章结构: 第1章-引入冲突+展示金手指; 第2章-小胜+埋伏笔; 第3章-更大危机+升级承诺。每章结尾必须有悬念钩子。"
PL002,outline-builder,剧情结构,缺陷补偿层,"节奏,章节定位","全题材","章节定位四型: 高压章(冲突/战斗) + 推进章(剧情推进) + 关系章(人物互动) + 低压章(日常/修炼)。禁止连续2章同类型。推荐比例: 3:3:2:2。"
PL003,outline-builder,剧情结构,知识补充层,"大纲,卷章结构","全题材","卷章结构: 每卷30-50章，每卷有独立小高潮。卷末设置大钩子。全书3-5卷，总字数100-300万字。每卷角色成长弧线清晰。"
CD001,character-design,人设设计,提醒层,"主角,金手指,成长","全题材","主角设计三要素: 1)独特金手指(非万能) 2)明确弱点(非完美) 3)成长弧线(从A到B)。金手指需要限制条件，否则无张力。"
CD002,character-design,人设设计,缺陷补偿层,"配角,反派,立体","全题材","反派设计: 反派需要合理的动机(非纯粹邪恶)。每个反派至少有1个让读者同情的特质。反派的实力应略强于主角，形成压迫感。"
CD003,character-design,人设设计,知识补充层,"角色档案,语言风格","全题材","角色档案五维: 性格矩阵(开放/尽责/外向/宜人/神经质) + 语言风格(词汇/句式/口癖) + 动机链(当前/长期/恐惧/欲望) + 知识边界(已知/未知/怀疑) + 关系网络(信任度/类型)。"
NA001,naming,取名规则,提醒层,"姓名,避免同质","全题材","取名规则: 避免"林枫/萧炎/楚枫"等高撞车名。姓氏选择: 优先使用中频姓氏(顾/沈/裴/陆/江/楚)。名字: 2-3字，有寓意但不晦涩。宗门/势力: 用古风前缀+功能性后缀。"
NA002,naming,取名规则,缺陷补偿层,"地名,势力名","全题材","地名设计: 用自然特征+功能命名(如"碎星海""万剑谷")。势力名: 前缀表意+后缀定位(如"天玄宗""九幽殿")。禁止: 过于现代或西化的命名。"
DT001,anti-ai-edit,去AI味,提醒层,"AI痕迹,疲劳词","全题材","AI疲劳词黑名单: 然而,总而言之,值得一提的是,不可否认,正如...所说,随着时间的推移,不禁,仿佛在诉说着,刹那间,让我为你。替换方案: 用具体动作/对话替代抽象总结。"
DT002,anti-ai-edit,去AI味,缺陷补偿层,"句式单调,翻译腔","全题材","句式多样性: 连续3句以上相同句长(主谓宾)即为单调。解决: 长短句交替，穿插倒装句、省略句、独词句。翻译腔特征: "这个...的..."结构过多，改为中文习惯表达。"
DT003,anti-ai-edit,去AI味,知识补充层,"文风指纹,风格对齐","全题材","文风指纹维度: 对话占比(>45%为对话密集型) + 平均段落字数 + 高频动词/形容词 + 句长方差。将参考小说的指纹注入Agent，确保输出文风一致。"
SC001,style-calibration,文风校准,提醒层,"叙事视角,人称","全题材","视角规范: 第一人称-只能写主角所知; 第三人称有限-跟随单一角色; 第三人称全知-可切换但每段只跟一个。禁止: 同一段内切换视角( head-hopping)。"
SC002,style-calibration,文风校准,缺陷补偿层,"感官密度,信息量","全题材","感官密度控制: 高压场景→快节奏短句+动作+痛觉; 日常场景→慢节奏长句+环境+对话; 情感场景→内心独白+回忆+比喻。每段信息密度: 1个核心信息+1个辅助信息。"
WB001,webnovel-techniques,网文技法,提醒层,"爽点,打脸,装逼","玄幻,都市","爽点三要素: 1)前期铺垫(读者知道主角实力) 2)对手轻视(制造反差) 3)实力展示(打脸时刻)。爽点间隔: 每3-5章一个小爽点，每卷一个大爽点。"
WB002,webnovel-techniques,网文技法,缺陷补偿层,"升级,突破,修炼","玄幻,仙侠","升级节奏: 每10-15章一个小境界突破，每卷一个大境界突破。突破需要: 1)积累铺垫 2)契机触发 3)过程描写 4)实力展示。禁止: 无铺垫突然突破。"
WB003,webnovel-techniques,网文技法,知识补充层,"系统,面板,数据","玄幻,游戏","系统流写法: 面板信息简洁(不超过3行)，用数据制造爽感。系统提示用【】框住。系统需要限制(每日次数/冷却时间/代价)。禁止: 万能系统无限制。"
