id,category,name,description,phases,applicable_genres
PS001,macro,三幕结构,"经典三幕：建置→对抗→解决","建置(25%):常态+冲突 | 对抗(50%):升级+挣扎 | 解决(25%):高潮+结局",all
PS002,macro,英雄旅程,"英雄离开日常世界→经历冒险→带着力量回归","日常→召唤→导师→考验→深渊→蜕变→回归",xianxia|xuanhuan|scifi|infinite
PS003,macro,起承转合,"东方叙事结构：起因→发展→转折→高潮","起(铺垫)→承(发展)→转(意外)→合(解决)",xianxia|xuanhuan|urban|historical
PS004,macro,七点结构,"七个关键节点串联故事","性格介绍→渴望→冲突→计划→战斗→低谷→高潮",all
PS005,macro,救猫咪节拍表,"15个节拍的详细结构","开场画面→主题呈现→铺垫→辩论→B故事→游戏→中点→坏人逼近→一无所有→灵魂黑夜→高潮→终场",all
PS006,micro,冲突-行动-结果,"每个场景的核心结构","冲突(问题出现)→行动(角色应对)→结果(产生变化)",all
PS007,micro,钩子-承诺-进展,"章节内的微结构","钩子(吸引注意)→承诺(会发生什么)→进展(兑现承诺)",all
PS008,micro,三拍节奏,"场景内的节奏控制","紧张→释放→期待",all
PS009,subplot,爱恨交织线,"感情线与主线交织","相遇→误解→靠近→冲突→和解→确认",xianxia|xuanhuan|urban|historical
PS010,subplot,成长蜕变线,"角色个人成长线","起点状态→挑战→突破→新状态",all
PS011,subplot,揭秘探索线,"真相逐步揭露","线索→推理→验证→真相→影响",mystery|scifi|xianxia
PS012,subplot,权力争夺线,"势力间的权力博弈","联盟→背叛→重组→决战→新格局",xianxia|xuanhuan|urban|historical
