id,category,name,description,applicable_genres,source
CD001,protagonist,废柴逆袭型,"起点低→获得能力→逐步成长→最终逆袭",xianxia|xuanhuan|urban|infinite,general
CD002,protagonist,重生复仇型,"重生回到过去→利用前世记忆→复仇+改变命运",xianxia|xuanhuan|urban|historical,rebirth
CD003,protagonist,系统辅助型,"获得系统→完成任务→获得奖励→持续成长",xianxia|xuanhuan|urban|infinite,system
CD004,protagonist,隐藏实力型,"表面普通→暗藏能力→关键时刻爆发→震惊众人",xianxia|xuanhuan|urban|scifi|infinite,general
CD005,protagonist,智商在线型,"逻辑清晰→善于分析→以智取胜→读者佩服",mystery|scifi|urban,general
CD006,protagonist,痞气主角型,"玩世不恭→关键时刻认真→反差萌→读者喜爱",urban|xuanhuan,general
CD007,antagonist,认知型反派,"早期弱小→给主角练手→被打败→成长催化剂",xianxia|xuanhuan|urban|infinite,general
CD008,antagonist,势力型反派,"有资源有势力→给主角制造真正麻烦→中期主要对手",xianxia|xuanhuan|urban|historical|infinite,general
CD009,antagonist,终极boss型,"贯穿全书的阴谋→最终对决→故事高潮",xianxia|xuanhuan|urban|scifi|infinite,general
CD010,antagonist,亦敌亦友型,"与主角有复杂关系→时而对抗时而合作→增加深度",xianxia|xuanhuan|urban|mystery,general
CD011,supporting,导师型,"引导主角成长→传授知识/能力→关键时刻助力",xianxia|xuanhuan|urban|historical|infinite,general
CD012,supporting,忠诚伙伴型,"与主角并肩作战→互相扶持→读者喜爱的配角",xianxia|xuanhuan|urban|mystery|infinite,general
CD013,supporting,喜剧担当型,"调节气氛→制造笑点→关键时刻认真→反差",xianxia|xuanhuan|urban,general
CD014,supporting,信息源型,"提供关键信息→推动剧情→不过度参与",xianxia|xuanhuan|urban|mystery|infinite,general
CD015,love-interest,温柔贤惠型,"善解人意→默默支持→感情线温暖",xianxia|xuanhuan|urban|historical,general
CD016,love-interest,强势独立型,"有自己的事业→与主角平等→感情线有张力",xianxia|xuanhuan|urban|scifi,general
CD017,love-interest,青梅竹马型,"从小认识→感情自然发展→有共同回忆",urban|historical|mystery,general
CD018,love-interest,欢喜冤家型,"初见不对付→逐渐了解→产生感情→甜蜜",xuanhuan|urban,general
